,doch,jedoch,aber,andererseits,allerdings,hingegen
inexorable,0,0,1,0,0,0
inexorably,0,0,1,0,0,0
inexpensive,0,0,1,0,0,0
inexplicable,0,0,1,0,0,0
infallible,0,0,1,0,0,0
infamous,0,0,0,1,0,0
infancy,0,0,1,0,0,0
infertility,0,0,1,0,0,0
infinitum,0,0,1,0,0,0
inflammatory,0,0,1,0,0,0
inflation,1,2,2,0,0,0
inflationary,1,0,0,0,0,0
inflexible,0,0,1,0,0,0
inflict,0,0,0,1,0,0
inflow,0,0,0,0,0,1
influence,0,0,5,0,1,0
influenced,0,1,0,0,0,0
influential,0,1,0,0,0,0
info,0,0,1,0,0,0
info-poor,0,0,1,0,0,0
inform,0,2,9,0,2,0
informal,1,0,4,1,0,0
informally,0,1,0,0,0,0
information,11,14,34,3,7,0
informed,0,3,3,2,2,0
informing,0,0,1,0,0,0
informs,0,1,0,0,0,0
infrastructure,2,1,3,0,0,0
infrastructures,1,0,4,0,0,0
infringed,0,0,2,0,0,0
infringement,3,1,1,0,1,0
infringes,1,0,0,0,0,0
ingredients,1,0,0,0,0,0
inhabitants,0,1,1,0,1,0
inhale,0,1,0,0,0,0
inherent,0,1,0,0,1,0
inherited,0,1,0,0,0,0
initial,4,1,5,0,0,1
initially,1,0,5,0,0,0
initiate,2,0,1,0,0,0
initiated,0,1,1,0,0,0
initiative,8,4,15,1,3,0
initiatives,3,4,11,0,0,1
injunctions,0,1,0,0,0,0
injured,1,0,0,0,0,0
injuries,1,0,0,0,0,0
injustice,2,1,1,0,0,0
innocent,1,0,1,0,0,0
innovate,0,0,1,0,0,0
innovation,2,1,12,0,0,0
innovations,0,2,0,0,0,0
innovative,1,1,3,1,0,0
input,0,0,1,0,0,0
inputs,0,1,0,0,0,0
inquiries,0,0,2,0,0,0
inquiry,0,0,0,1,0,0
insane,2,0,0,0,0,0
insecure,0,1,1,0,0,0
insecurity,0,0,2,0,0,0
insemination;,0,1,0,0,0,0
inseparable,1,0,0,0,0,0
insert,1,0,0,0,0,0
inside,0,0,1,0,0,0
insider,1,0,0,0,0,0
insidious,0,0,0,0,1,0
insight,0,0,1,0,0,0
insignificance,0,1,0,0,0,0
insignificant,0,1,1,0,1,0
insist,1,11,10,0,1,0
insisted,0,2,3,0,0,1
insisting,0,1,0,0,0,0
insists,0,2,0,0,0,0
insofar,0,2,1,0,0,0
insoluble,0,0,1,0,0,0
inspection,0,1,3,1,2,0
inspections,0,0,3,0,1,0
inspectorate,0,0,0,0,0,1
inspectors,0,0,2,0,0,0
inspiration,0,0,2,0,0,0
inspired,1,1,0,0,0,0
instability,1,0,0,0,0,0
installations,0,1,0,0,0,0
instance,1,3,7,0,2,0
instances,0,1,0,0,0,0
instantly,0,1,0,0,0,0
instead,22,10,25,2,2,11
institute,1,0,1,0,1,0
institutes,0,0,1,0,0,0
instituting,0,0,1,0,0,0
institution,0,2,3,0,0,0
institution-building,0,0,1,0,0,0
institutional,0,2,13,0,2,0
institutions,10,6,24,1,2,0
institutions',2,0,0,0,0,0
instructive,0,0,1,0,0,0
instrument,2,6,10,1,1,0
instrumental,0,1,0,0,0,0
instrumentalization,0,1,0,0,0,0
instruments,3,1,13,1,1,0
insufficiencies,0,0,0,1,0,0
insufficient,3,5,5,0,2,0
insularity),0,1,0,0,0,0
insurance,2,2,4,0,0,0
"insured""",1,0,0,0,0,0
insurers,1,0,0,0,0,0
intact,0,3,0,0,0,0
intangible,0,0,2,0,0,0
integral,1,0,0,0,0,0
integrate,0,1,0,0,0,0
integrated,0,3,5,0,0,0
integrating,2,0,1,0,0,0
integration,3,1,9,2,1,0
integrators,0,0,1,0,0,0
integrity,2,1,2,0,0,0
intellectual,2,0,1,1,0,0
intelligence,0,0,2,0,0,0
intelligence;,0,0,1,0,0,0
intelligent,0,0,2,0,0,0
intend,1,4,4,0,1,1
intended,1,4,7,0,0,0
intends,0,4,0,0,0,0
intense,0,0,2,0,0,0
intensely,1,0,0,0,0,0
intensified,0,0,1,0,0,0
intensify,0,0,1,0,0,0
intensity,0,0,1,0,0,0
intensive,1,1,1,0,0,0
intent,0,0,4,0,0,0
intent;,0,1,0,0,0,0
intention,4,2,7,0,0,0
intentional,0,1,0,0,0,0
intentioned,0,0,2,0,0,0
intentions,5,1,15,0,0,0
intents,1,0,1,0,0,0
interacting,0,0,1,0,0,0
intercepted,0,0,1,0,0,0
interchanges,0,0,1,0,0,0
interconnected,0,1,0,0,0,0
intercultural,0,0,1,0,0,0
interdependence,0,1,1,0,0,0
interest,8,5,20,2,3,0
interest',1,0,0,0,0,0
interest;,0,1,0,0,0,0
interested,0,4,5,0,0,0
interesting,6,3,6,1,2,0
interestingly,0,1,1,0,0,0
interests,4,6,24,2,2,0
interfaces,0,0,1,0,0,0
interfere,0,0,0,0,1,0
interfered,0,0,1,0,0,0
interference,1,0,1,0,0,0
interferes,0,0,1,0,0,0
interfering,0,0,0,1,0,0
intergovernmental,4,0,4,0,0,0
intergovernmentalists,0,0,0,1,0,0
interim,0,0,2,0,0,0
interinstitutional,2,1,3,0,0,0
interlocutor,1,0,0,0,0,0
intermediaries,0,0,0,1,0,0
intermediary,0,2,1,0,0,0
intermediate,0,0,1,0,0,0
internal,8,8,21,4,3,0
internally,0,0,3,0,0,0
international,15,16,36,1,5,0
internationally,0,1,5,1,0,0
internet,0,1,8,0,0,0
interoperability,0,0,1,0,0,0
interoperable,0,0,1,0,0,0
interparliamentary,0,0,1,0,0,0
interpol,1,0,0,0,0,0
interpret,1,1,3,1,0,0
interpretation,1,0,9,0,0,0
interpreted,1,0,1,0,0,0
interprets,0,0,0,0,0,1
interreg,0,1,0,0,0,0
interregional,0,0,0,0,1,0
interregnum,0,0,1,0,0,0
interrupt,1,0,3,0,0,1
interrupted,0,0,1,0,1,0
interruption,0,0,1,0,0,0
intervals,0,0,0,0,1,0
intervene,0,2,7,0,0,0
intervened,1,0,0,0,0,0
intervenes,0,1,0,0,0,0
intervention,2,3,6,0,1,0
interventions,1,0,2,0,0,0
intifada,0,1,0,0,0,0
intimate,0,0,1,0,0,0
intimidated,0,1,0,0,0,0
intimidation,0,0,1,0,0,0
into,29,30,62,2,5,3
into',0,1,0,0,0,0
intolerable,1,0,1,0,0,0
intriguing,0,0,0,0,1,0
intrinsic,0,1,0,0,0,0
intrinsically,0,0,1,0,0,0
introduce,1,4,4,0,0,1
introduced,1,3,5,0,0,0
introduces,0,1,0,1,0,0
introducing,0,2,3,0,0,0
introduction,2,4,4,0,1,0
intrusions,0,0,1,0,0,0
invaded,0,0,2,0,0,0
invalid,0,1,0,0,0,0
invalidated,0,1,0,0,0,0
invaluable,1,0,1,0,0,0
invasion,0,0,1,0,0,0
invasive,0,1,0,0,0,0
inveigh,0,0,1,0,0,0
invention,0,0,1,0,0,0
inventory,0,1,0,0,0,0
invest,1,1,2,0,1,0
invested,0,0,1,0,0,1
investigate,1,0,1,0,0,0
investigated,1,0,0,0,1,0
investigation,2,0,0,0,0,0
investigation;,0,1,0,0,0,0
investigations,1,1,1,0,0,0
investigative,0,0,1,0,0,0
investing,1,0,2,0,0,0
investment,3,1,12,2,1,1
investment;,0,0,1,0,0,0
investments,2,1,2,0,0,0
investors,1,0,0,2,0,0
invests,0,0,1,0,0,0
inviolability,0,0,1,0,0,0
inviolate;,0,0,0,0,0,1
invisibly,0,0,1,0,0,0
invitation,0,1,2,0,0,0
invite,1,1,2,0,0,0
invited,1,0,1,1,0,0
inviting,0,1,0,0,0,0
invoice,0,0,1,0,0,0
involuntarily,0,1,0,0,0,0
involve,0,2,5,0,1,0
involved,4,1,21,2,3,0
involvement,2,3,4,1,0,0
involves,3,6,9,0,0,1
involving,2,1,2,1,1,0
ioc’s,0,0,1,0,0,0
iran,1,3,7,1,0,0
iranian,0,0,3,0,0,0
iraq,5,3,8,0,0,0
iraqi,0,0,2,0,1,0
ireland,2,5,8,0,0,0
irish,3,8,5,1,0,0
irksome,1,0,0,0,0,0
ironic,2,0,1,0,0,0
ironically,1,0,0,0,0,0
irony,1,0,0,0,0,0
irrational,0,0,1,0,0,0
irregularities,0,1,0,0,0,0
irrelevant,0,0,2,0,0,0
irrespective,2,1,5,0,0,0
irresponsibility,0,0,1,0,0,0
irresponsible,3,1,1,0,0,1
irreversible,1,0,0,0,0,0
is,810,2392,2193,28,418,47
is;,0,0,1,0,0,0
isaf,0,1,0,0,0,0
islam,0,0,3,0,0,0
islamic,1,0,3,0,0,0
islamists,0,1,0,0,0,0
island,2,1,2,0,1,0
islands,2,2,0,0,0,0
"isn't""",0,0,1,0,0,0
iso,1,0,0,0,0,0
isolate,2,0,2,0,0,0
isolated,0,2,1,0,0,0
isolation,1,0,0,0,0,0
isothermic,1,0,0,0,0,0
isps,0,0,1,0,0,0
israel,5,3,12,0,0,0
israel's,1,0,2,0,0,0
israeli,0,0,2,0,0,0
israeli-palestinian,0,0,1,0,0,0
israelis,0,0,1,0,0,0
issue,28,27,58,1,7,1
issued,2,1,0,0,0,0
issues,7,18,49,2,2,1
issues’,1,0,0,0,0,0
issuing,0,0,1,0,0,0
istanbul,0,0,1,0,0,0
it,803,624,1922,45,379,22
it',0,0,1,0,0,0
it's,2,0,0,0,0,0
it;,0,0,1,0,0,0
italian,2,3,6,0,1,0
italians,1,0,0,0,0,0
italy,0,1,7,0,1,0
item,1,1,3,0,0,0
items,1,0,3,0,1,0
iter,0,0,1,0,0,0
its,59,51,142,10,8,4
itself,15,14,38,2,1,0
it’,1,0,0,0,0,0
ivorian,0,0,1,0,0,0
izquierdo,0,0,3,0,0,0
jacobites,1,0,0,0,0,0
jadot,0,0,1,0,0,0
jail,0,0,1,0,0,0
jamaica,0,0,1,0,0,0
janez,0,0,1,0,0,0
january,0,1,2,0,1,0
japan,0,0,3,0,0,1
japan;,0,0,1,0,0,0
jaramillo,0,0,1,0,0,0
jarzembowski,0,2,1,0,0,0
jarzembowski’s,0,1,0,0,0,0
jeopardise,0,1,0,0,0,0
jeopardises,0,0,0,0,1,0
jeopardising,0,0,1,0,0,0
jeopardize,1,0,0,0,0,0
jerusalem,1,0,0,0,0,0
jerzy,0,0,1,0,0,0
jewish,0,1,0,0,0,0
jews,0,0,1,0,0,0
jia,0,0,1,0,0,0
jiménez's,0,0,1,0,0,0
job,5,3,22,0,1,1
job-destruction,0,0,1,0,0,0
jobs,9,7,18,4,0,0
jobseeking,0,0,1,0,0,0
johannesburg,0,0,2,0,0,0
john,0,0,2,0,0,0
join,1,3,10,0,1,0
joined,0,0,4,0,0,1
joining,0,0,4,0,0,0
joint,2,6,8,0,1,0
jointly,0,0,2,0,1,0
joke,1,0,1,0,0,0
jokes,0,0,1,0,0,0
joking,4,0,3,0,0,0
jokingly,1,0,0,0,0,0
jordan,0,0,1,0,0,0
journalists,0,0,1,0,0,0
journey,1,1,3,0,0,0
joy,1,0,0,0,0,0
juan,0,1,0,0,0,0
judge,1,1,1,0,0,0
judged,1,0,1,0,0,0
judgement,0,0,1,0,0,0
judgement;,0,0,1,0,0,0
judges,0,0,1,0,0,0
judging,0,0,2,0,0,0
judgment,1,0,4,0,0,0
judgments,1,0,0,1,0,0
judicial,2,4,4,0,1,0
judiciary,1,1,0,0,0,0
judiciously,0,0,1,0,0,0
july,2,2,2,0,0,0
juncker,0,0,2,0,0,0
juncture,0,2,1,0,0,0
june,2,2,5,0,0,0
jurisdiction,0,0,0,0,2,0
jurisdictional,0,0,0,1,0,0
jurisdictions,0,0,2,0,0,0
just,61,48,71,2,14,2
justice,7,4,9,2,2,0
justifiable,1,1,0,0,0,0
justifiably,0,1,0,0,0,0
justification,0,1,4,0,0,0
justified,4,6,9,0,0,0
justifies,0,0,1,0,0,0
justify,2,0,1,0,1,0
justifying,0,0,1,0,0,0
juxtaposed,0,0,1,0,0,0
jędrzejewska,0,0,1,0,0,0
kabul,0,1,0,0,0,0
kaliningrad,1,0,0,0,0,0
kaliningrad's,0,0,1,0,0,0
kallas,0,1,0,0,0,0
kangaroo,0,1,0,0,0,0
kant,1,0,0,0,0,0
karadzic,0,0,1,0,0,0
karel,0,0,1,0,0,0
karl,0,0,1,0,0,0
kasyanov's,0,1,0,0,0,0
kazakhstan,0,0,0,2,0,0
kedo,1,0,0,0,0,0
keen,0,2,2,0,0,0
keenly,0,0,1,0,0,0
keep,4,10,18,1,1,0
keeper,0,0,0,0,1,0
keeping,2,1,1,2,0,0
keeps,0,0,1,0,0,0
kelly,0,1,0,0,0,0
kenya,0,1,1,0,0,0
kept,0,4,4,0,0,0
key,9,5,8,0,0,0
keynesian,0,0,1,0,0,0
keyser,0,0,1,0,0,0
kg,0,1,0,0,0,0
khadraoui,0,1,0,0,0,0
khloponin,0,0,1,0,0,0
kicking,0,0,1,0,0,0
kickstart,1,0,0,0,0,0
kid,1,0,0,0,0,0
kiev,0,0,1,0,0,0
killed,2,1,2,0,0,0
killilea,0,1,0,0,0,0
killings,2,0,0,0,0,0
kills,0,0,1,0,0,0
kilograms,1,0,0,0,0,0
kilometres,0,0,1,0,0,0
kilos,0,0,1,0,0,0
kilowatts,0,0,1,0,0,0
kilroy-silk,0,0,1,0,0,0
kind,5,3,16,0,2,0
kindermann,0,0,1,0,0,0
kindness,1,0,0,0,0,0
kinds,1,2,1,0,0,0
king,1,0,1,0,0,0
kingdom,1,2,6,0,0,0
kinnock,0,1,2,0,0,0
kinnock's,1,0,0,0,0,0
kirkhope,0,0,1,0,0,0
kitchen,1,1,0,0,0,0
kittelmann's,0,0,1,0,0,0
kivu,1,0,0,0,0,0
kizilyürek,0,0,1,0,0,0
kla,0,1,0,0,0,0
klm,1,0,0,0,0,0
km,1,0,1,0,0,0
knew,2,3,3,0,1,0
knock,0,0,1,0,0,0
knocking,0,0,1,0,0,0
know,57,90,109,1,14,0
know;,0,0,1,0,0,0
knowing,3,0,0,0,0,0
knowledge,2,0,5,0,0,0
knowledge-based,0,0,1,0,0,0
known,4,1,14,0,0,1
knows,7,6,6,0,1,0
koch,0,1,0,0,0,0
kohl,1,0,0,0,0,0
kokkola,0,0,1,0,0,0
kong,0,1,1,0,0,0
korea,1,1,3,0,0,0
korea',0,0,1,0,0,0
koreans,0,0,1,0,0,0
kosovar,0,0,1,0,0,0
kosovars,0,1,1,0,0,0
kosovo,4,0,13,1,1,0
kosovos,0,0,1,0,0,0
kouchner,0,1,1,0,0,0
krahmer’s,0,0,0,0,1,0
krajina,0,0,1,0,0,0
kristallnacht,0,0,1,0,0,0
kuala,1,0,0,0,0,0
kuhn,0,1,0,0,0,0
kurdish,0,0,2,0,0,0
kurds,0,0,1,0,0,0
kurds',0,0,1,0,0,0
kyoto,0,0,2,0,0,0
label,1,0,3,0,0,0
labelling,2,0,4,1,0,0
laborious,0,1,1,0,0,0
labour,3,1,11,2,2,0
labour-intensive,0,0,1,0,0,0
lack,5,7,12,1,2,0
lacked,1,0,0,0,0,0
lacking,1,3,4,0,3,0
lacks,2,2,2,0,1,0
ladders,1,0,0,0,0,0
ladies,7,3,8,0,0,0
lady,0,1,0,0,1,0
ladyship',0,0,1,0,0,0
laeken,0,1,1,0,0,1
lag,0,2,1,0,0,0
lagendijk,0,0,1,0,0,0
lagging,0,1,4,0,0,0
lags,0,0,1,0,1,0
laicism,0,0,1,0,0,0
laid,1,2,3,0,0,0
lakes,0,0,1,0,0,0
lambert,0,0,1,0,0,0
lame,0,0,1,0,0,0
lament,0,1,0,0,0,0
lamentable,0,1,3,0,0,0
lamented,0,0,1,0,0,0
lamfalussy,0,0,1,0,0,0
lampedusa,0,0,2,0,0,0
lamy,0,0,1,0,0,0
land,1,1,5,0,0,0
landed,0,0,1,0,0,0
landfill,0,0,1,0,0,0
landing,0,1,1,0,0,0
landrover,0,0,1,0,0,0
language,4,2,10,0,2,0
languages,2,1,6,1,2,0
lanka,0,0,1,0,0,0
laos,0,0,1,0,0,0
lapsed,0,0,2,0,0,0
large,3,7,29,0,3,0
large-scale,0,0,2,0,0,0
largely,1,4,4,0,0,0
larger,1,1,2,0,0,0
largest,3,0,0,0,0,0
larive,0,1,0,0,0,0
larosière,0,0,1,0,0,0
last,21,6,27,0,2,0
last-minute,0,1,0,0,0,0
lasted,0,0,0,0,1,0
lasting,1,0,3,0,0,0
lastly,4,0,1,1,0,0
late,5,4,9,1,0,0
later,7,9,17,0,2,0
latest,1,2,2,0,0,0
latin,0,0,2,0,0,0
latter,1,3,5,0,1,0
latter-day,0,0,1,0,0,0
latvia,2,0,1,0,0,0
latvian,0,1,0,0,0,0
latvians,0,1,0,0,0,0
laudable,0,0,5,0,0,0
laudatory,0,0,1,0,0,0
laugh,1,0,1,0,0,0
laughable,3,0,0,0,0,0
launched,1,1,0,0,0,0
launches,0,0,0,0,1,0
launching,0,0,1,0,0,0
laundering,0,1,0,0,1,0
law,10,10,42,2,2,0
lawful,0,1,0,0,0,0
lawmaking,0,0,0,0,1,0
laws,5,1,4,4,1,0
lawyer,0,0,2,0,1,0
lawyers,0,0,3,0,0,0
lax,2,0,0,0,0,0
laxity,1,0,0,0,0,0
lay,0,3,2,0,0,0
layers,0,1,0,0,0,0
laying,0,0,2,0,0,0
lays,0,2,0,0,0,0
le,0,1,1,0,0,0
lead,4,11,10,0,0,0
leader,0,2,1,0,0,0
leader+,0,1,0,0,0,0
leaders,1,0,5,0,0,0
leadership,0,1,3,1,1,0
leadership’,0,0,1,0,0,0
leading,2,0,4,0,0,0
leads,0,2,4,0,1,0
leaf,1,0,0,0,0,0
leaflets,0,1,0,0,0,0
leaner,0,0,2,0,0,0
leans,0,0,1,0,0,0
leap,0,0,1,0,0,0
learn,2,2,5,0,1,0
learned,1,2,4,0,0,0
learning,2,0,3,0,0,0
learnt,0,3,0,0,0,0
least,34,8,33,0,3,0
least-favoured,0,0,0,1,0,0
leave,7,9,12,1,1,0
leaves,2,4,0,0,3,0
leaving,3,3,7,0,2,1
lebanon,3,1,4,0,1,0
lectured,0,0,1,0,0,0
led,2,3,3,0,0,0
left,8,10,14,0,3,0
left-wing,0,1,0,0,0,0
leg,0,0,1,0,0,0
legacy,0,1,2,0,0,0
legal,7,14,41,3,2,2
legalises,1,0,0,0,0,0
legalistic,0,0,1,0,0,0
legality,0,1,0,0,0,0
legalization,1,0,0,0,0,0
legally,0,5,1,0,1,0
legally-based,1,0,0,0,0,0
legion,0,0,1,0,0,0
legislation,12,11,34,3,7,2
legislative,2,2,7,3,1,0
legislator,0,1,0,1,0,0
legislators,0,1,1,0,0,0
legislature,0,1,0,0,0,0
legitimacy,0,0,3,0,0,0
legitimate,2,3,5,0,1,0
lehne,0,0,1,0,0,0
lehtomäki,0,0,1,0,0,0
leinen,0,0,1,0,1,0
lend,0,1,1,0,0,0
lender,0,0,1,0,0,0
length,1,0,2,0,0,0
lengthy,0,1,2,0,1,0
lenient,1,0,0,0,0,0
lenz,0,1,0,0,0,0
leon,0,0,1,0,0,0
leone,0,1,0,0,0,0
less,15,36,51,0,6,3
less-developed,0,1,0,0,0,0
lesser,0,0,2,0,0,0
lesser-used,0,0,1,0,0,0
lesson,1,1,1,0,0,0
lessons,2,0,2,1,0,0
lessons-to-be-learned,0,0,1,0,0,0
let,81,22,128,0,7,0
let's,1,0,0,0,0,0
letter,2,2,2,0,0,0
letters,1,1,2,0,0,0
letting,0,0,0,1,1,0
level,9,21,38,4,4,0
levels,2,3,13,0,0,0
leverage,0,0,2,0,0,0
levies,0,0,2,0,0,0
levy,1,0,0,0,0,0
liability,0,0,6,1,0,0
liars,0,0,1,0,0,0
libel,0,0,1,0,0,0
liberal,1,2,7,0,0,0
liberalisation,4,3,7,0,1,0
liberalise,0,0,1,0,0,0
liberalised,0,0,2,0,0,0
liberalising,2,0,0,0,0,0
liberalism,0,0,1,0,0,0
liberalization,0,0,2,0,0,0
liberals,1,2,1,0,0,0
liberated,1,0,0,0,0,0
liberators,0,0,1,0,0,0
liberia,0,0,1,0,0,0
liberties,0,0,0,1,0,1
liberty,0,0,1,0,0,0
libre,0,0,1,0,0,0
libya,0,1,2,0,0,0
licence,0,0,1,0,0,0
licences,0,0,1,0,0,0
license,1,0,0,0,0,0
licensed,0,0,1,0,0,0
licensing,0,0,0,1,0,0
lie,2,4,0,0,1,0
liechtenstein,0,0,0,0,1,0
lies,1,20,8,0,4,0
life,9,4,13,0,1,1
life+,1,0,1,0,0,0
lifelong,2,0,0,0,0,0
lifestyle,0,0,1,0,0,0
lifestyles,0,0,1,0,0,0
lifetime,0,1,0,0,0,0
lift,0,0,1,0,0,0
lifted,0,0,1,0,0,0
lifting,0,2,0,0,0,0
lifts,0,0,2,0,0,0
light,3,4,11,0,1,0
lightheartedly,1,0,0,0,0,0
lightly,0,0,1,0,0,0
lightweight,1,0,0,0,0,0
liikanen,1,0,0,0,0,0
like,112,260,261,2,60,1
liked,0,1,5,0,2,0
likely,2,6,2,0,1,0
likes,0,1,1,1,0,0
likewise,1,0,5,0,1,0
liking,1,0,3,0,0,0
lille,1,0,0,0,0,0
limelight,1,0,0,0,0,0
limit,1,3,4,0,2,0
limitations,0,0,2,0,0,0
limited,5,11,17,1,2,1
limiting,1,0,1,0,0,0
limits,1,4,7,0,1,0
limits;,0,1,0,0,0,0
line,9,2,11,0,2,0
liner,1,0,0,0,0,0
lines,1,1,9,0,0,0
linguistic,0,1,0,0,0,0
lining,0,1,1,0,0,0
link,1,1,2,0,0,1
linked,2,2,7,0,0,0
linkohr,0,0,1,0,0,0
links,1,2,2,0,0,0
lip,0,0,1,0,0,0
lip-service,0,0,1,0,0,0
lips,1,0,0,0,0,0
liqueurs,0,0,1,0,0,0
liquid,0,0,1,0,0,0
liquidity,1,0,0,0,0,0
lisbon,9,4,16,0,0,0
list,4,7,19,1,2,0
listed,0,0,1,0,2,0
listen,4,1,4,0,1,0
listened,2,2,1,0,0,1
listening,0,2,1,0,0,0
listing,0,1,0,0,0,0
lists,0,0,1,0,0,0
literally,0,1,0,0,0,0
literates,0,0,0,1,0,0
lithuania,0,0,2,0,0,0
little,8,8,34,0,5,0
live,3,3,21,0,0,0
lived,0,1,0,0,0,0
lively,0,1,2,0,0,0
lives,2,3,4,1,1,0
livestock,1,0,0,0,0,0
living,2,2,11,0,0,2
living’,0,0,1,0,0,0
livni,1,0,0,0,0,0
ljubljana,1,0,0,0,0,0
loaf,1,0,0,0,0,0
loan,1,0,1,0,0,0
loaned,0,0,1,0,0,0
loans,0,1,2,1,0,0
lobbies,0,0,1,0,0,0
lobby,1,0,2,0,0,0
lobbying,0,0,2,0,0,0
lobbyists,0,0,2,0,0,0
local,2,6,8,0,2,0
locally,0,0,1,0,0,0
locally-trained,0,0,0,0,1,0
locate,0,1,0,0,0,0
located,1,1,1,0,0,0
locations,0,1,0,0,0,0
loch,0,0,1,0,0,0
locked,0,1,0,0,0,0
locomotive,0,0,1,0,0,0
lodged,0,1,0,0,0,0
lofty,0,1,1,0,0,0
log,0,0,1,0,0,0
logging,1,0,0,0,0,0
logic,0,1,0,1,0,0
logical,1,0,3,0,0,0
logically,0,0,1,0,0,0
logistical,0,0,1,0,0,0
logo,0,0,1,0,0,0
lomé,0,0,1,0,0,0
london,1,0,0,0,1,0
long,17,21,60,1,3,0
long-established,0,0,1,0,0,0
long-haul,0,0,1,0,0,0
long-promised,0,0,1,0,0,0
long-term,3,1,5,0,0,0
long-winded,1,0,0,0,0,0
longer,2,8,12,0,1,1
longer;,0,1,0,0,0,0
look,11,34,44,1,5,0
looked,1,3,3,0,0,0
looking,3,5,10,0,2,0
looks,1,9,2,0,2,0
loophole,0,0,1,0,0,0
loopholes,1,1,1,0,0,0
looters,1,0,0,0,0,0
lord,0,0,1,0,0,0
lorries,0,0,1,0,0,0
lose,1,3,3,0,1,0
losers,0,0,1,0,0,0
loses,0,1,0,0,0,0
losing,2,2,1,0,1,1
loss,0,0,3,0,0,0
losses,0,0,0,0,1,0
lost,5,4,6,0,1,0
lost),0,1,0,0,0,0
lot,8,8,38,0,0,0
lots,1,1,1,0,0,0
loud,0,0,4,0,0,0
louder,0,0,1,0,0,0
love,0,1,3,0,0,0
loves,0,0,1,0,0,0
low,2,0,7,1,0,0
low-carbon,0,0,1,0,0,0
low-cost,0,0,1,0,0,0
low-fat,0,0,1,0,0,0
low-noise,0,0,1,0,0,0
low-profile,0,0,1,0,0,0
low-skilled,0,0,0,0,1,0
lower,0,2,4,2,2,1
lowering,0,1,0,0,0,0
lowest,1,0,0,0,0,0
luck,0,0,1,0,0,0
lucrative,0,0,3,0,0,0
lukashenko,1,0,0,0,0,0
lulling,1,0,1,0,0,0
lump,0,1,0,0,0,0
lunch,1,0,1,0,0,0
lund,0,1,0,0,0,0
lungs,0,0,1,0,0,0
luxembourg,4,1,7,0,0,0
luxuries,0,0,0,0,0,1
luxury,0,0,1,0,0,0
lying,1,0,0,0,0,0
lynch,0,0,1,0,0,0
lyrical,0,1,0,0,0,0
länder,1,0,1,0,0,0
lópez,0,0,0,0,1,0
l’,1,0,0,0,0,0
m,0,0,3,0,0,0
maastricht,1,2,4,0,0,0
macedonia,0,4,6,0,0,1
macedonia's,0,0,1,0,0,0
machina,1,0,0,0,0,0
machine,0,2,0,0,0,0
macro-economic,0,1,0,0,0,0
macro-supervision,0,0,1,0,0,0
macroeconomic,1,0,0,0,0,0
mad,0,0,1,0,0,0
madam,3,3,9,0,2,0
made,29,41,75,3,9,1
madeira,0,2,0,0,0,0
madness,2,1,1,0,0,0
maes,1,0,0,0,0,0
mafia,2,0,1,0,0,0
maghreb,0,0,1,0,0,0
magic,0,0,1,0,0,0
magistrates,0,0,1,0,0,0
magnificent,0,0,1,0,0,0
mahmoud,0,0,0,1,0,0
maij-weggen,0,0,1,0,0,0
main,6,9,9,1,2,2
mainland,1,0,0,0,0,0
mainly,4,5,13,0,0,0
mainstreaming,0,0,1,1,0,0
maintain,5,8,6,0,0,1
maintained,0,3,3,0,0,0
maintaining,2,3,5,0,0,0
maintains,0,2,1,0,0,0
maintenance,0,0,3,0,1,0
maize,0,1,1,0,0,0
majeure,0,0,1,0,0,0
major,10,11,21,0,2,0
majorities,1,0,0,0,0,0
majority,8,5,14,0,0,1
majority;,0,0,1,0,0,0
make,26,59,101,6,12,2
make-up,0,1,0,0,0,0
makers,0,1,1,0,0,0
makes,7,24,18,0,4,0
making,11,4,20,2,1,0
malaria,1,0,0,0,0,0
male,1,0,2,0,0,0
malmström,0,0,1,0,1,0
malta,1,0,2,0,0,0
maltese,0,1,0,0,0,0
mammoth,0,0,1,0,0,0
man,0,0,5,0,0,0
man',1,0,0,0,0,0
man-made,0,0,0,1,0,0
manage,2,2,4,1,0,0
managed,2,5,6,1,0,0
management,2,9,17,0,1,0
manager,0,1,0,1,0,0
managers,0,1,0,0,0,0
managing,1,0,3,0,0,0
manchester,0,0,1,0,0,0
mandate,2,1,3,0,0,0
mandates,0,0,1,0,0,0
mandatory,0,1,1,1,0,0
mandelson,0,1,0,0,0,0
manifestation,1,0,0,0,0,0
manifestations,0,0,1,0,0,0
manifestly,1,0,1,0,0,0
manifestos,0,0,1,0,0,0
mankind,0,1,1,0,0,0
mann,0,0,1,0,0,0
manner,4,3,4,0,2,0
manoeuvre,0,1,0,0,0,0
mansion,0,0,1,0,0,0
manufacture,0,0,1,0,0,0
manufactured,0,0,2,0,0,0
manufacturers,1,1,1,0,0,0
many,49,36,116,4,11,0
map,0,0,1,0,0,0
mapped,0,0,1,0,0,0
maps,0,0,1,1,0,0
march,0,2,4,0,1,0
margin,0,0,0,0,1,0
marginal,1,1,2,0,0,0
marginalization,0,1,0,0,0,0
marginalizing,0,0,1,0,0,0
margins,2,0,2,0,1,0
marine,0,0,1,0,0,0
mario,0,0,1,0,0,0
maritime,1,1,5,0,0,0
mark,1,0,4,0,2,0
marked,1,1,3,0,0,0
market,21,30,85,7,3,1
